Url,Image,Address,Name,Price,Rent,Bed
https://homefinder.com/property/653638159/Walnut-Anaheim-CA-92801,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653638159/7fda4b063cbc4594958420fbdac14a8ca01f8930/480-0-50,"Walnut,","Walnut,",$934 /mo Rent to Own,Rent to Own,"2 Bd | 2 Bath | 1,080 Sqft"
https://homefinder.com/property/653640064/Site-Dr-61-Brea-CA-92821,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653640064/63b8bd96b4e17428eab5a510e26861a1a25e47b3/480-0-50,"Site Dr 61,","Site Dr 61,",$934 /mo Rent to Own,Rent to Own,"2 Bd | 2 Bath | 1,344 Sqft"
https://homefinder.com/property/653639452/Carbon-Canyon-Brea-CA-92823,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639452/e995c1a00aa373121232dfd67da16c3e83560d77/480-0-50,"Carbon Canyon,","Carbon Canyon,","$1,024 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,440 Sqft"
https://homefinder.com/property/653637558/Bloomfield-Avenue-67-Cypress-CA-90630,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653637558/a977e8a4556dbef2386cef61caeb22bb93749b44/480-0-50,"Bloomfield Avenue 67,","Bloomfield Avenue 67,","$1,067 /mo Rent to Own",Rent to Own,"3 Bd | 2 Bath | 1,248 Sqft"
https://homefinder.com/property/653638871/Site-Drive-142-Brea-CA-92821,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653638871/23c996b951bac05cc9087a410430db8501cd49db/480-0-50,"Site Drive 142,","Site Drive 142,","$1,261 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,440 Sqft"
https://homefinder.com/property/653639849/Delaware-St-Huntington-Beach-CA-92648,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639849/c34e18dbf3a387482d2e98e840a5663d107d8bbb/480-0-50,"Delaware St,","Delaware St,","$1,261 /mo Rent to Own",Rent to Own,1 Bd | 1 Bath | 603 Sqft
https://homefinder.com/property/653640051/Katella-10-Anaheim-CA-92804,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653640051/b0231fc07bd8bc409d2661ce4463616b5766d634/480-0-50,"Katella 10,","Katella 10,","$1,267 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,120 Sqft"
https://homefinder.com/property/653639275/Bloomfield-Avenue-108-Cypress-CA-90630,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639275/c13ff29202367baa78596653212b31a05b46a6b7/480-0-50,"Bloomfield Avenue 108,","Bloomfield Avenue 108,","$1,327 /mo Rent to Own",Rent to Own,"3 Bd | 2 Bath | 1,332 Sqft"
https://homefinder.com/property/653639360/Orangethorpe-Avenue-32b-Buena-Park-CA-90621,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639360/b59b002d7783b4c2f071b358cceb6d9f03e8fd63/480-0-50,"Orangethorpe Avenue 32B,","Orangethorpe Avenue 32B,","$1,573 /mo Rent to Own",Rent to Own,"3 Bd | 2 Bath | 1,272 Sqft"
https://homefinder.com/property/653639962/Harbor-Lake-Avenue-29-Brea-CA-92821,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639962/53aeec79de2b3806aa12f63676b7dede38eed5e4/480-0-50,"Harbor Lake Avenue 29,","Harbor Lake Avenue 29,","$1,713 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,920 Sqft"
https://homefinder.com/property/653639846/Coronet-123-Anaheim-CA-92801,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639846/50485563fc15519d19bc6fd4bc3943fecff9c08a/480-0-50,"Coronet 123,","Coronet 123,","$1,861 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,800 Sqft"
https://homefinder.com/property/653636449/Via-Mariposa-Laguna-Woods-CA-92637,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653636449/918dd82ee5dfb14f148edd5dd03fdd7ab0923011/480-0-50,"Via Mariposa,","Via Mariposa,","$2,000 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,009 Sqft"
https://homefinder.com/property/653639844/W-Coronet-177-Anaheim-CA-92801,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639844/d40a9ff4b8ab29a28b44f6b86da55675911d9019/480-0-50,"W Coronet 177,","W Coronet 177,","$2,000 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,800 Sqft"
https://homefinder.com/property/653637008/N-Ford-Ave-Fullerton-CA-92832,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653637008/ecdb9194c2bc4d14159d18b4feefe453d198aff5/480-0-50,"N Ford Ave,","N Ford Ave,","$2,001 /mo Rent to Own",Rent to Own,1 Bd | 1 Bath | 462 Sqft
https://homefinder.com/property/653639421/Wood-Lake-Drive-196-Brea-CA-92821,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639421/cb4ce80df8ff2e95094d82f8e5aaf68a91636c57/480-0-50,"Wood Lake Drive 196,","Wood Lake Drive 196,","$2,061 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,728 Sqft"
https://homefinder.com/property/653639754/S-Beach-Blvd-Space-61-Anaheim-CA-92804,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639754/5bf43c23f4b4552392fd0fd2a3381be9f57b25ab/480-0-50,"S Beach Blvd Space 61,","S Beach Blvd Space 61,","$2,061 /mo Rent to Own",Rent to Own,2 Bd | 2 Bath | 880 Sqft
https://homefinder.com/property/653639924/Brea-Blvd-Fullerton-CA-92835,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639924/99eaf30b9069f05d8423e55ec3b1b6a691f6b8b5/480-0-50,"Brea Blvd,","Brea Blvd,","$2,368 /mo Rent to Own",Rent to Own,1 Bd | 1 Bath | 501 Sqft
https://homefinder.com/property/653639627/San-Amadeo-Laguna-Woods-CA-92637,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639627/dab8072fbb9630348676fa5698ceccdde7d872cd/480-0-50,"San Amadeo,","San Amadeo,","$2,368 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,175 Sqft"
https://homefinder.com/property/653633102/Bear-Santa-Ana-CA-92704,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653633102/3417be0c549056c410397bf995560fb5c0f59ef2/480-0-50,"Bear,","Bear,","$2,401 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,157 Sqft"
https://homefinder.com/property/653639745/Via-Mariposa-W-Laguna-Woods-CA-92637,https://d26tqmt1mjuqkn.cloudfront.net/_img_/653639745/ecaf59c28e572febc013b8e96821a127bb119750/480-0-50,"Via Mariposa W,","Via Mariposa W,","$2,528 /mo Rent to Own",Rent to Own,"2 Bd | 2 Bath | 1,199 Sqft"
